Country,GDP_mean,GDP_2005,GDP_2025,Growth_abs,Growth_pct
Afghanistan,15863.619047619048,6167.0,17248.0,11081.0,179.6821793416572
Albania,15063.52380952381,8148.0,28372.0,20224.0,248.20814923907707
Algeria,195203.33333333334,107047.0,268885.0,161838.0,151.18405933842146
Andorra,3406.5238095238096,3158.0,4035.0,877.0,27.77074097530082
Angola,107808.38095238095,41397.0,113343.0,71946.0,173.79520255090947
Antigua and Barbuda,1565.1904761904761,1144.0,2373.0,1229.0,107.43006993006993
Argentina,495449.7619047619,199273.0,683533.0,484260.0,243.01335354011835
Armenia,13055.57142857143,4900.0,26258.0,21358.0,435.87755102040813
Aruba,2961.0476190476193,2360.0,4100.0,1740.0,73.72881355932203
Australia,1360977.5714285714,736505.0,1771681.0,1035176.0,140.5524741855113
Austria,428247.90476190473,314126.0,534301.0,220175.0,70.09130094293373
Azerbaijan,53704.42857142857,13239.0,78870.0,65631.0,495.73985950600496
Bahamas,11591.0,9836.0,15178.0,5342.0,54.310695404636036
Bahrain,34015.0,16647.0,47829.0,31182.0,187.3130293746621
Bangladesh,257985.04761904763,79530.0,467218.0,387688.0,487.47390921664777
Barbados,5558.285714285715,4213.0,7552.0,3339.0,79.25468787087586
Belarus,60446.76190476191,31239.0,71561.0,40322.0,129.07583469381223
Belgium,527117.380952381,385927.0,684864.0,298937.0,77.45946772317043
Belize,2221.3809523809523,1475.0,3611.0,2136.0,144.8135593220339
Benin,13190.809523809523,6571.0,22236.0,15665.0,238.39598234667477
Bhutan,2113.6190476190477,818.0,3422.0,2604.0,318.3374083129584
Bolivia,31571.809523809523,9573.0,56339.0,46766.0,488.51979525749505
Bosnia and Herzegovina,19658.14285714286,11223.0,28807.0,17584.0,156.67825002227568
Botswana,14913.285714285714,9833.0,19400.0,9567.0,97.29482355334079
Brazil,1905401.0,891633.0,2125958.0,1234325.0,138.4341988239556
Brunei,14471.809523809523,10561.0,16007.0,5446.0,51.56708645014677
Bulgaria,65105.57142857143,29868.0,117007.0,87139.0,291.7470202223115
Burkina Faso,14358.047619047618,6150.0,27056.0,20906.0,339.9349593495935
Burundi,2870.4285714285716,1117.0,6745.0,5628.0,503.84959713518356
Cambodia,25794.571428571428,7058.0,49799.0,42741.0,605.5681496174553
Cameroon,35649.28571428572,19534.0,56011.0,36477.0,186.73594757858095
Canada,1737796.0476190476,1173505.0,2225341.0,1051836.0,89.6319998636563
Cape Verde,2024.3333333333333,1395.0,2786.0,1391.0,99.71326164874552
Central African Republic,2163.095238095238,1413.0,2932.0,1519.0,107.50176928520878
Chad,15079.952380952382,8660.0,18792.0,10132.0,116.99769053117784
Chile,252111.0,122315.0,343823.0,221508.0,181.09634958917547
China,11109020.857142856,2325515.0,19231705.0,16906190.0,726.9869254767224
Colombia,306498.8095238095,145600.0,427766.0,282166.0,193.79532967032966
Comoros,1078.6190476190477,656.0,1548.0,892.0,135.97560975609758
Costa Rica,54547.142857142855,20049.0,102591.0,82542.0,411.7013317372438
Croatia,63844.47619047619,45035.0,98951.0,53916.0,119.7202176085267
Cyprus,26403.761904761905,18713.0,38736.0,20023.0,107.00048094907284
Czech Republic,238765.2857142857,137264.0,360244.0,222980.0,162.4460892877958
DR Congo,39977.142857142855,12720.0,79119.0,66399.0,522.0047169811321
Denmark,349331.38095238095,265150.0,449940.0,184790.0,69.69262681501037
Djibouti,2484.7619047619046,996.0,4587.0,3591.0,360.5421686746988
Dominica,532.6666666666666,364.0,742.0,378.0,103.84615384615385
Dominican Republic,75122.42857142857,35948.0,127828.0,91880.0,255.59140981417605
Ecuador,90160.28571428571,40279.0,125677.0,85398.0,212.0161870950123
Egypt,287858.5714285714,94127.0,347342.0,253215.0,269.01420421345625
El Salvador,24074.571428571428,14698.0,36749.0,22051.0,150.02721458701865
Equatorial Guinea,14513.952380952382,8191.0,12684.0,4493.0,54.85288731534611
Eritrea,1786.2857142857142,850.0,1982.0,1132.0,133.1764705882353
Estonia,28159.52380952381,14129.0,45004.0,30875.0,218.52218840682283
Eswatini,4315.0952380952385,3177.0,5483.0,2306.0,72.584198929808
Ethiopia,67727.28571428571,12387.0,117457.0,105070.0,848.2279809477678
Federated States of Micronesia,344.14285714285717,247.0,500.0,253.0,102.42914979757086
Fiji,4560.380952380952,3257.0,6257.0,3000.0,92.109303039607
Finland,264412.4761904762,204973.0,303945.0,98972.0,48.28538392861499
France,2739047.1904761903,2193358.0,3211292.0,1017934.0,46.409842807238945
Gabon,16142.190476190477,9468.0,20391.0,10923.0,115.36755386565272
Gambia,1657.1904761904761,1028.0,2771.0,1743.0,169.55252918287937
Georgia,17713.0,6590.0,35353.0,28763.0,436.4643399089529
Germany,3833331.8095238097,2894992.0,4744804.0,1849812.0,63.89696413668846
Ghana,58166.23809523809,26415.0,88332.0,61917.0,234.40090857467348
Greece,247527.7619047619,242450.0,267348.0,24898.0,10.269333883274902
Grenada,999.8571428571429,695.0,1464.0,769.0,110.6474820143885
Guatemala,65272.42857142857,28179.0,121177.0,92998.0,330.0259058163881
Guinea,11833.904761904761,4506.0,30094.0,25588.0,567.8650687971593
Guinea-Bissau,1314.3809523809523,640.0,2274.0,1634.0,255.3125
Guyana,7076.285714285715,1712.0,25822.0,24110.0,1408.2943925233644
