Region,Year,GDP_total
Unknown,2005,47982773.0
Unknown,2006,51984479.0
Unknown,2007,58694984.0
Unknown,2008,64441235.0
Unknown,2009,61050145.0
Unknown,2010,66796828.0
Unknown,2011,74241763.0
Unknown,2012,75688410.0
Unknown,2013,77926074.0
Unknown,2014,80043504.0
Unknown,2015,75579184.0
Unknown,2016,76877077.0
Unknown,2017,81775636.0
Unknown,2018,86831775.0
Unknown,2019,88087511.0
Unknown,2020,85826173.0
Unknown,2021,97906010.0
Unknown,2022,102010263.0
Unknown,2023,106493778.0
Unknown,2024,110629039.0
Unknown,2025,113835177.0
