Country,Slope,Intercept,R2,Mean_GDP
Afghanistan,432.35194805194806,-855325.5562770562,0.3486862878300104,15863.619047619048
Albania,752.5909090909091,-1501407.158008658,0.7403986758437293,15063.52380952381
Algeria,5022.518181818182,-9925170.803030303,0.5078790132202617,195203.33333333334
Andorra,0.34415584415584416,2713.0497835497836,2.8659292621266087e-05,3406.5238095238096
Angola,1839.1402597402594,-3598059.2424242417,0.1224335662016308,107808.38095238095
Antigua and Barbuda,41.47012987012987,-81997.1212121212,0.6551954447940672,1565.1904761904761
Argentina,17477.405194805193,-34721521.7056277,0.5439678005314551,495449.7619047619
Armenia,814.7974025974025,-1628761.1948051949,0.739080952889987,13055.57142857143
Aruba,64.52467532467533,-127056.17316017317,0.6723574449694353,2961.0476190476193
Australia,43526.7077922078,-86345338.62987016,0.7360065180653981,1360977.5714285714
Austria,7833.618181818181,-15356492.73160173,0.7520780865907689,428247.90476190473
Azerbaijan,1858.8259740259741,-3691829.909090909,0.37081373404683493,53704.42857142857
Bahamas,223.83506493506493,-439436.6558441558,0.689067092321109,11591.0
Bahrain,1433.92987012987,-2855353.688311688,0.9475931709150144,34015.0
Bangladesh,22032.0,-44136494.952380955,0.9728382960158364,257985.04761904763
Barbados,101.33116883116884,-198624.0194805195,0.6508922115915339,5558.285714285715
Belarus,1329.1519480519482,-2617794.4134199135,0.44410231555688334,60446.76190476191
Belgium,10664.115584415586,-20961075.521645024,0.7440173867978793,527117.380952381
Belize,86.19090909090909,-171453.30086580088,0.834276903552874,2221.3809523809523
Benin,690.5467532467533,-1378260.8982683984,0.9271177768902503,13190.809523809523
Bhutan,118.2012987012987,-236061.9978354978,0.9692942517820539,2113.6190476190477
Bolivia,2075.603896103896,-4150770.041125541,0.9636470213346718,31571.809523809523
Bosnia and Herzegovina,674.351948051948,-1339161.0324675324,0.7888983654042525,19658.14285714286
Botswana,520.4467532467532,-1033786.9220779222,0.8982932026959991,14913.285714285714
Brazil,26397.71038961039,-51285985.435064934,0.13267959288095546,1905401.0
Brunei,60.31428571428571,-107061.47619047618,0.023330962643594442,14471.809523809523
Bulgaria,3464.9454545454546,-6916759.519480519,0.8271629662744995,65105.57142857143
Burkina Faso,872.7493506493507,-1744231.893939394,0.9275347407418927,14358.047619047618
Burundi,192.80649350649352,-385634.6558441559,0.8345912706488128,2870.4285714285716
Cambodia,2131.5675324675326,-4269314.006493506,0.9843797320750383,25794.571428571428
